type,"filter"
name,"OPTOLONG L-PRO Light Pollution"
channel,"PAN"
wavelength,"350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749"
transmission,"0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.013,0.018,0.022,0.027,0.032,0.036,0.041,0.066,0.106,0.219,0.333,0.446,0.588,0.737,0.872,0.886,0.885,0.867,0.85,0.79,0.693,0.586,0.465,0.305,0.15,0.069,0.039,0.029,0.024,0.02,0.016,0.018,0.02,0.021,0.023,0.031,0.042,0.053,0.091,0.129,0.25,0.387,0.523,0.66,0.797,0.888,0.925,0.943,0.956,0.957,0.952,0.947,0.944,0.943,0.943,0.942,0.943,0.95,0.958,0.965,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.974,0.975,0.975,0.976,0.976,0.975,0.974,0.974,0.969,0.964,0.959,0.955,0.955,0.955,0.955,0.96,0.967,0.973,0.979,0.98,0.978,0.976,0.973,0.971,0.969,0.968,0.968,0.968,0.968,0.962,0.955,0.949,0.945,0.942,0.948,0.953,0.959,0.964,0.969,0.974,0.979,0.984,0.986,0.985,0.984,0.983,0.982,0.978,0.972,0.967,0.961,0.957,0.955,0.953,0.95,0.944,0.934,0.83,0.722,0.615,0.507,0.4,0.292,0.185,0.11,0.077,0.064,0.055,0.046,0.041,0.038,0.036,0.034,0.033,0.035,0.038,0.041,0.048,0.058,0.072,0.093,0.138,0.185,0.239,0.392,0.545,0.697,0.85,0.909,0.935,0.927,0.876,0.791,0.707,0.622,0.474,0.31,0.174,0.109,0.086,0.064,0.053,0.044,0.035,0.026,0.024,0.022,0.02,0.017,0.016,0.017,0.018,0.019,0.019,0.02,0.021,0.028,0.036,0.044,0.052,0.07,0.097,0.139,0.207,0.34,0.494,0.644,0.743,0.831,0.909,0.926,0.932,0.926,0.915,0.886,0.844,0.721,0.569,0.414,0.311,0.23,0.171,0.13,0.1,0.084,0.068,0.058,0.051,0.044,0.039,0.038,0.037,0.036,0.035,0.036,0.039,0.041,0.044,0.046,0.051,0.062,0.073,0.085,0.102,0.126,0.149,0.173,0.197,0.252,0.323,0.394,0.479,0.583,0.686,0.79,0.85,0.891,0.918,0.933,0.947,0.962,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.972,0.969,0.966,0.962,0.962,0.97,0.976,0.972,0.967,0.963,0.974,0.973,0.97,0.967,0.967,0.969,0.971,0.973,0.963,0.949,0.936,0.907,0.868,0.828,0.789,0.749,0.691,0.626,0.561,0.496,0.443,0.391,0.338,0.285,0.232,0.18,0.127,0.108,0.089,0.07,0.051,0.04,0.033,0.026,0.023,0.019,0.015,0.012,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005"
