type,"filter"
name,"Sony CMOS B / Antlia Quadband"
channel,"B"
wavelength,"372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818"
transmission,"6e-05,7.1e-05,8.4e-05,9.76333e-05,0.000112,0.000127325,0.000144,0.000162458,0.000182,0.000202292,0.000224,0.000248975,0.000278,0.00123893,0.004988,0.0448302,0.109934,0.197856,0.237795,0.257164,0.275995,0.294704,0.31416,0.332128,0.35144,0.370108,0.389205,0.408034,0.423546,0.438363,0.453523,0.46621,0.47864,0.491201,0.501873,0.511256,0.521213,0.525892,0.525251,0.421845,0.231088,0.0480631,0.012892,0.003555,0.001797,0.00121259,0.001228,0.000622747,0.001262,0.00126892,0.001274,0.00128372,0.001294,0.0013047,0.001316,0.001328,0.00134,0.00135175,0.001364,0.001377,0.00139,0.001403,0.001416,0.00142825,0.00144,0.001452,0.001464,0.00147538,0.001486,0.00149625,0.001506,0.00151525,0.001524,0.00153225,0.00154,0.00154725,0.001554,0.00156021,0.001566,0.00157167,0.001576,0.001579,0.001582,0.001585,0.001588,0.0015905,0.001592,0.001593,0.001594,0.001595,0.001596,0.001596,0.001596,0.001597,0.001598,0.001599,0.0016,0.001601,0.001602,0.0016016,0.0016,0.00159834,0.001596,0.00159194,0.002379,0.00473625,0.01413,0.0436715,0.192726,0.454235,0.60344,0.697697,0.711578,0.709054,0.691446,0.674783,0.658296,0.641763,0.624138,0.60116,0.585442,0.57141,0.555395,0.540134,0.525005,0.508539,0.492462,0.476367,0.461648,0.447093,0.433066,0.419093,0.398469,0.370849,0.338446,0.30535,0.25308,0.163704,0.088044,0.039429,0.015974,0.00410313,0.002448,0.001779,0.001148,0.0008325,0.000804,0.0007775,0.000753,0.0007285,0.000705,0.0006825,0.00066,0.0006375,0.000615,0.0005955,0.000576,0.0005565,0.000537,0.00051825,0.000501,0.0004845,0.000468,0.0004515,0.000435,0.000420938,0.000408,0.000392438,0.000378,0.000366,0.000354,0.000342,0.00033,0.000318,0.000306,0.00029475,0.000285,0.000276,0.000267,0.000258,0.000249,0.00024,0.000231,0.000222,0.000213,0.000205125,0.000198,0.0001905,0.000183,0.000176813,0.000171,0.000163313,0.000156,0.00015,0.000144,0.000138,0.000132,0.00012435,0.000117,0.0001194,0.000123,0.00012,0.000117,0.000114,0.000111,0.000108,0.000105,0.000102,9.9e-05,9.73125e-05,9.6e-05,9.3e-05,9e-05,8.85e-05,8.7e-05,8.38125e-05,8.1e-05,7.95e-05,7.8e-05,7.65e-05,7.5e-05,7.35e-05,7.2e-05,7.05e-05,6.9e-05,6.75e-05,6.6e-05,6.58125e-05,6.6e-05,6.45e-05,6.3e-05,6.3e-05,6.3e-05,6.13125e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6.13125e-05,6.3e-05,6.3e-05,6.3e-05,6.45e-05,6.6e-05,6.58125e-05,6.6e-05,6.75e-05,6.9e-05,7.05e-05,7.2e-05,7.35e-05,7.5e-05,7.65e-05,7.8e-05,7.95e-05,8.1e-05,8.25e-05,8.4e-05,8.68125e-05,9e-05,9.13125e-05,0.000155,0.000128,9.9e-05,0.000136,0.000175,0.000284,0.000504,0.001147,0.002356,0.005499,0.0114,0.020992,0.029946,0.0373459,0.04284,0.04557,0.047232,0.0488565,0.05049,0.05208,0.053568,0.0552356,0.056544,0.057594,0.058587,0.0597,0.060878,0.061628,0.062496,0.063296,0.06409,0.0644479,0.06468,0.0655871,0.0663,0.0670615,0.067827,0.0687355,0.06958,0.069795,0.069083,0.0667095,0.062712,0.0557043,0.045936,0.0342495,0.024163,0.016206,0.009271,0.00584,0.003504,0.002117,0.001314,0.000949,0.000584,0.000438,0.000365,0.000365,0.000292,0.000219,0.000219,0.00029025,0.000288,0.00028825,0.000288,0.000286,0.000213,0.0002115,0.00021,0.0002085,0.000207,0.0002055,0.000204,0.0002025,0.000201,0.0001995,0.000198,0.0001965,0.000195,0.0001935,0.000192,0.000189,0.000186,0.0001845,0.000183,0.0001815,0.00018,0.000177187,0.000174,0.0001725,0.000171,0.000168,0.000165,0.000163688,0.000162,0.000159,0.000156,0.000153,0.00015,0.000148312,0.000147,0.000144,0.000141,0.000139688,0.000138,0.000135,0.000176,0.000172,0.000168,0.000164833,0.000164,0.000169667,0.00022,0.000178,0.000225,0.000226875,0.000322,0.000517,0.000624,0.000931,0.0014,0.002244,0.003588,0.006527,0.011055,0.01921,0.027666,0.0417095,0.049837,0.0565,0.061184,0.0637011,0.066232,0.0686,0.07092,0.0734698,0.075999,0.0777108,0.079056,0.0806754,0.083334,0.0917172,0.102608,0.110966,0.119556,0.1287,0.137757,0.14745,0.156456,0.165312,0.174345,0.18321,0.19188,0.200962,0.210362,0.218724,0.227592,0.236411,0.24402,0.254153,0.262542,0.197006,0.043146,0.00522,0.001788,0.000916,0.00156,0.000955812,0.000975,0.000993281,0.001011,0.00102834,0.001044,0.00105679,0.001068,0.00107884,0.001089,0.00109744,0.001104"
