type,"filter"
name,"Sony CMOS R / Antlia Quadband"
channel,"R"
wavelength,"372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818"
transmission,"0.000192,0.000195,0.000198,0.000201,0.000204,0.000207,0.00021,0.00021225,0.000214,0.000216,0.000218,0.00022,0.000222,0.000894,0.003248,0.026432,0.058912,0.096768,0.10696,0.104682,0.102185,0.099484,0.097104,0.0946245,0.092635,0.0903169,0.088412,0.08703,0.085096,0.083076,0.081228,0.07913,0.0772,0.075426,0.073492,0.071484,0.069624,0.06713,0.064124,0.0496288,0.02626,0.00522381,0.001342,0.000357,0.000174,0.000113,0.00011,5.35e-05,0.000104,0.000101,9.8e-05,9.5e-05,9.2e-05,8.9875e-05,8.8e-05,8.4875e-05,8.2e-05,8e-05,7.8e-05,7.6e-05,7.4e-05,7.2e-05,7e-05,6.8e-05,6.6e-05,6.4e-05,6.2e-05,6.0875e-05,6e-05,5.7875e-05,5.6e-05,5.5e-05,5.4e-05,5.3e-05,5.2e-05,5.1e-05,5e-05,4.9e-05,4.8e-05,4.7e-05,4.6e-05,4.5e-05,4.4e-05,4.3e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.1e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4.0875e-05,4.2e-05,4.2e-05,4.2e-05,4.3e-05,6.6e-05,0.000131625,0.000396,0.00126,0.005727,0.013912,0.019056,0.0227115,0.023975,0.0249135,0.025428,0.0259965,0.026568,0.027115,0.027608,0.0278445,0.028391,0.0294286,0.030473,0.0309345,0.03152,0.032439,0.033354,0.03423,0.035136,0.0355145,0.035927,0.036822,0.037089,0.03652,0.035219,0.0336,0.029412,0.020064,0.011385,0.0054405,0.002352,0.000637,0.0004,0.000306,0.000208,0.000160312,0.000165,0.000167812,0.000171,0.0001755,0.00018,0.0001845,0.000189,0.000200766,0.000213,0.000216469,0.000216,0.000213516,0.00021,0.0002055,0.000201,0.0001965,0.000192,0.00018525,0.000177,0.0001695,0.000162,0.000155813,0.00015,0.000142313,0.000135,0.000129,0.000123,0.000117,0.000111,0.000105938,0.000102,9.8625e-05,9.6e-05,9.4125e-05,9.3e-05,9.26875e-05,9.3e-05,9.35e-05,9.6e-05,0.0001005,0.000105,0.0001095,0.000114,0.00012075,0.000129,0.00013575,0.000144,0.0001545,0.000165,0.0001755,0.000186,0.000196446,0.00021,0.000268706,0.000366,0.000460381,0.000561,0.00066937,0.000786,0.000910209,0.001038,0.0011682,0.001299,0.001431,0.001563,0.00169184,0.001818,0.00194069,0.002058,0.00216612,0.002265,0.00235591,0.002436,0.00250252,0.002553,0.00259089,0.002613,0.00262015,0.002628,0.00264175,0.002655,0.00266627,0.002676,0.00268352,0.002688,0.00269001,0.002691,0.0026914,0.002691,0.00268925,0.002685,0.002679,0.002673,0.002667,0.002661,0.00265369,0.002646,0.00263994,0.002634,0.002626,0.002619,0.0026145,0.00261,0.0026055,0.002601,0.00259519,0.002589,0.00258394,0.00258,0.002577,0.002574,0.002571,0.002568,0.002565,0.002562,0.002559,0.002556,0.002553,0.00255,0.002547,0.002544,0.002541,0.00423,0.00338,0.002532,0.00337075,0.004205,0.00671217,0.011718,0.0259057,0.051708,0.117242,0.236265,0.423168,0.587512,0.707312,0.779688,0.799925,0.799992,0.798976,0.79794,0.796204,0.792608,0.789435,0.784672,0.781491,0.777519,0.774607,0.772452,0.764883,0.75888,0.75164,0.74443,0.73725,0.7301,0.72372,0.716625,0.71467,0.712675,0.71208,0.71071,0.702405,0.684992,0.652595,0.605345,0.533354,0.43703,0.321108,0.223756,0.149184,0.084836,0.05312,0.03168,0.0190445,0.011772,0.00846625,0.005192,0.0038878,0.00324,0.00324267,0.002596,0.001947,0.001947,0.00259817,0.0026,0.00259825,0.002596,0.00259625,0.001947,0.00194419,0.001941,0.00193969,0.001938,0.00193369,0.001929,0.00192619,0.001923,0.00191712,0.001911,0.00190656,0.001902,0.00189637,0.00189,0.0018825,0.001875,0.00186919,0.001863,0.0018555,0.001848,0.0018405,0.001833,0.001827,0.001821,0.001815,0.001809,0.00179934,0.001788,0.00177872,0.00177,0.00176194,0.001755,0.001749,0.001743,0.001737,0.001731,0.001725,0.001719,0.00171431,0.00228,0.00227275,0.002264,0.002254,0.002244,0.002234,0.00278,0.002214,0.002755,0.00274125,0.003815,0.0059565,0.006994,0.0101579,0.014868,0.023188,0.036087,0.063318,0.103515,0.17374,0.241839,0.352603,0.407683,0.44748,0.469396,0.471413,0.471416,0.47089,0.469845,0.468023,0.465864,0.461918,0.456768,0.453935,0.451554,0.452571,0.455928,0.45687,0.457812,0.459225,0.460167,0.462706,0.46248,0.461332,0.459995,0.457738,0.454608,0.451197,0.448248,0.44394,0.44145,0.439401,0.43512,0.435267,0.432306,0.315412,0.067473,0.00794373,0.002646,0.00132,0.002195,0.001314,0.001311,0.001305,0.001299,0.001293,0.001287,0.00128006,0.001272,0.00126356,0.001254,0.0012435,0.001233"
