type,"filter"
name,"Sony CMOS G / Antlia Quadband"
channel,"G"
wavelength,"372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818"
transmission,"0.000122,0.000125,0.000128,0.00013,0.000132,0.000135,0.000138,0.000141,0.000144,0.000147,0.00015,0.000153,0.000156,0.000632,0.00232,0.019234,0.043658,0.073008,0.08213,0.08365,0.084995,0.086156,0.087584,0.0885619,0.088815,0.088044,0.087451,0.08703,0.086063,0.0847061,0.083162,0.08106,0.07913,0.0779039,0.076393,0.074382,0.072525,0.070007,0.066953,0.0511695,0.026664,0.005312,0.001364,0.00036,0.000174,0.000111,0.000106,5.1e-05,9.8e-05,9.4e-05,9e-05,8.65833e-05,8.4e-05,8.21667e-05,8.2e-05,8.3e-05,8.4e-05,8.5e-05,8.6e-05,8.7e-05,8.8e-05,8.9875e-05,9.2e-05,9.2875e-05,9.4e-05,9.6e-05,9.8e-05,0.0001,0.000102,0.000104,0.000106,0.000108,0.00011,0.000112,0.000114,0.000116,0.000118,0.00012,0.000122,0.00012475,0.000128,0.000131,0.000134,0.000136,0.000138,0.000141,0.000144,0.000147,0.00015,0.000166333,0.000196,0.000226432,0.00026,0.000297292,0.000338,0.000382238,0.00043,0.000480788,0.000534,0.000589167,0.000646,0.000704375,0.000764,0.000824708,0.001329,0.0028445,0.00909,0.029988,0.140934,0.353128,0.497838,0.608205,0.655956,0.695491,0.722742,0.749782,0.775392,0.799391,0.820352,0.831511,0.849772,0.868018,0.880768,0.892154,0.901275,0.905046,0.906444,0.901798,0.898896,0.90489,0.911769,0.913943,0.900597,0.867806,0.819486,0.7661,0.657324,0.439584,0.244651,0.11349,0.047677,0.0126848,0.007824,0.00588,0.003928,0.002952,0.002958,0.00296288,0.002967,0.00297169,0.002976,0.00297919,0.002982,0.002985,0.002988,0.00299,0.002991,0.00299144,0.002991,0.00298931,0.002985,0.00297759,0.00297,0.00296409,0.002958,0.00295031,0.002943,0.002937,0.002931,0.002925,0.002919,0.002913,0.002907,0.002901,0.002895,0.0028875,0.00288,0.0028725,0.002865,0.002856,0.002847,0.002838,0.002829,0.00281906,0.002808,0.00279637,0.002784,0.00277088,0.002757,0.00274256,0.002727,0.0027105,0.002694,0.0026775,0.002661,0.0026425,0.002622,0.00260131,0.00258,0.00255788,0.002535,0.00251138,0.002487,0.00246187,0.002436,0.00240931,0.002382,0.0023545,0.002325,0.0022935,0.002262,0.0022305,0.002199,0.00216675,0.002133,0.0020985,0.002064,0.0020295,0.001995,0.00195825,0.00192,0.00188269,0.001845,0.00180619,0.001767,0.001728,0.001689,0.00165025,0.001611,0.00157062,0.00153,0.0014895,0.001449,0.0014085,0.001368,0.00132881,0.00129,0.0012495,0.001209,0.00116962,0.001131,0.00109294,0.001056,0.00102,0.000984,0.000948,0.000912,0.000878063,0.000846,0.000813938,0.000783,0.000754089,0.000726,0.000698013,0.000672,0.000670773,0.000675,0.0006615,0.000648,0.0006345,0.000621,0.00060825,0.000597,0.0005865,0.000576,0.0005655,0.000555,0.00054525,0.000895,0.000706,0.000522,0.00068575,0.000845,0.0013355,0.00231,0.005053,0.009982,0.0224631,0.04503,0.080288,0.111228,0.133886,0.14756,0.15141,0.151536,0.151751,0.15246,0.153264,0.15376,0.154411,0.154752,0.155653,0.156894,0.159138,0.161676,0.162457,0.16368,0.16541,0.16762,0.170059,0.17248,0.175062,0.17745,0.181237,0.185787,0.191372,0.196812,0.200475,0.201411,0.197621,0.189007,0.171937,0.145464,0.110472,0.07944,0.0533711,0.03048,0.019505,0.011904,0.00732391,0.004626,0.003393,0.00212,0.001617,0.00137,0.00139062,0.001128,0.000856875,0.000867,0.0011685,0.00118,0.0011905,0.0012,0.0012085,0.000912,0.000916813,0.000921,0.000924625,0.000927,0.000927625,0.000927,0.000926,0.000924,0.000921,0.000918,0.000915,0.000912,0.00090675,0.0009,0.000894,0.000888,0.000882,0.000876,0.000868688,0.000861,0.000854625,0.000849,0.000844188,0.00084,0.0008365,0.000834,0.000833125,0.000834,0.000837,0.00084,0.000839625,0.00084,0.000843,0.000846,0.000849,0.000852,0.0008575,0.000864,0.000868438,0.001164,0.0011715,0.00118,0.00119025,0.0012,0.001208,0.00152,0.001224,0.00154,0.00155,0.002184,0.003454,0.004108,0.00603606,0.008932,0.0140855,0.022149,0.0392459,0.064722,0.10948,0.153594,0.225722,0.263074,0.291088,0.307832,0.311374,0.313628,0.315866,0.318155,0.319603,0.320775,0.320949,0.320128,0.320603,0.320739,0.322,0.325248,0.32784,0.33048,0.333998,0.337065,0.341101,0.343416,0.345384,0.347705,0.345907,0.342432,0.34142,0.341101,0.34006,0.340407,0.341101,0.34006,0.342818,0.343476,0.250691,0.05355,0.006336,0.002124,0.001068,0.00179,0.0010815,0.001089,0.0010965,0.001104,0.0011115,0.001119,0.0011245,0.001128,0.001131,0.001131,0.00112725,0.001122"
