type,"filter"
name,"Optolong L-Pro G"
channel,"G"
wavelength,"400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700"
transmission,"0.000712,0.000701,0.000688,0.000672,0.000656,0.000725063,0.001027,0.001386,0.00165,0.001971,0.002272,0.002466,0.002706,0.004224,0.006572,0.01314,0.019314,0.024753,0.031164,0.037587,0.042728,0.041642,0.039825,0.0375339,0.0357,0.0324558,0.028413,0.024319,0.01953,0.0129625,0.00645,0.0030015,0.001716,0.00130319,0.001104,0.00092875,0.000752,0.000864,0.00098,0.00105,0.001173,0.001612,0.002226,0.002862,0.005005,0.007224,0.01425,0.022446,0.030857,0.0396,0.048617,0.055389,0.0592,0.0617665,0.064052,0.065076,0.065688,0.0667635,0.067968,0.0693105,0.070725,0.078343,0.092414,0.107555,0.12454,0.143443,0.164437,0.185959,0.209195,0.233903,0.259791,0.28663,0.314279,0.343031,0.37245,0.402045,0.432368,0.462705,0.492375,0.521577,0.551284,0.578008,0.604428,0.6292,0.65322,0.67983,0.705745,0.72991,0.75648,0.783987,0.809536,0.833213,0.85064,0.863603,0.874496,0.882181,0.888465,0.892157,0.894432,0.892578,0.891528,0.90024,0.903318,0.900739,0.898703,0.898223,0.898668,0.907829,0.915833,0.924476,0.932188,0.93993,0.947702,0.955259,0.962352,0.96628,0.96727,0.968256,0.969238,0.969848,0.967242,0.962827,0.959264,0.954333,0.951258,0.950225,0.949188,0.946833,0.941168,0.931334,0.82751,0.719428,0.611925,0.503213,0.396,0.288505,0.18241,0.108178,0.075537,0.062656,0.053735,0.04485,0.039893,0.036898,0.034884,0.032878,0.031845,0.0336875,0.03648,0.0392575,0.04584,0.055216,0.068328,0.087978,0.130134,0.173842,0.223704,0.365393,0.50576,0.643767,0.78115,0.830996,0.849915,0.837545,0.786648,0.705968,0.627109,0.547878,0.414276,0.268802,0.14964,0.0929361,0.07267,0.053576,0.043937,0.0361075,0.02842,0.0208807,0.019056,0.0172663,0.0155,0.0129965,0.012064,0.0126395,0.013194,0.0137227,0.013509,0.01399,0.014448,0.018942,0.02394,0.028721,0.03328,0.0439294,0.059655,0.0836867,0.121923,0.19584,0.278122,0.354254,0.398991,0.435063,0.46359,0.459759,0.450156,0.434757,0.41724,0.392443,0.36292,0.300297,0.229307,0.161408,0.117247,0.0837919,0.060192,0.0442,0.0328,0.026544,0.020672,0.0169759,0.014382,0.0119378,0.010179,0.0095518,0.008954,0.00837616,0.00784,0.00804927,0.008775,0.0090405,0.009504,0.009729,0.010557,0.0125705,0.014527,0.0166175,0.019584,0.023751,0.027565,0.0314428,0.035263,0.044478,0.056202,0.0675464,0.080951,0.0973246,0.11319,0.12877,0.13685,0.141947,0.145044,0.146306,0.147732,0.149591,0.150815,0.150329,0.149842,0.149599,0.149842,0.150329,0.150815,0.151302,0.151788,0.152518,0.153734,0.155619,0.157626,0.159025,0.160545,0.162734,0.16541,0.168156,0.170544,0.172914,0.175084,0.17809,0.18333,0.188856,0.192456,0.195818,0.199341,0.206305,0.211141,0.215755,0.220476,0.226328,0.23256,0.233438,0.23352,0.234791,0.235352,0.236385,0.233099,0.226548,0.21942,0.212635,0.205226,0.192184,0.176532,0.160236,0.143344"
